epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.6715,1.00309,2.56,1.46599,0.00389,1,0.22711,0.08998,0.2952,2.96574,1.04326,6e-05,2e-05,6e-05,2e-05,6e-05,2e-05,6e-05,2e-05
2,18.2571,0.89375,2.52762,1.3714,0.00389,1,0.20996,0.08726,0.29247,2.97667,1.03696,0.000177773,5.92575e-05,0.000177773,5.92575e-05,0.000177773,5.92575e-05,0.000177773,5.92575e-05
3,20.7771,0.92301,2.57013,1.44267,0.00389,1,0.16185,0.07967,0.28779,2.98534,1.03641,0.000292575,9.7525e-05,0.000292575,9.7525e-05,0.000292575,9.7525e-05,0.000292575,9.7525e-05
4,23.0207,0.9758,2.56269,1.48131,0.00389,1,0.27006,0.09407,0.29325,2.98684,1.03688,0.000404408,0.000134803,0.000404408,0.000134803,0.000404408,0.000134803,0.000404408,0.000134803
5,25.3437,0.72311,2.4624,1.22336,0.00389,1,0.24229,0.0839,0.29662,2.98866,1.03666,0.00051327,0.00017109,0.00051327,0.00017109,0.00051327,0.00017109,0.00051327,0.00017109
6,27.542,0.8857,2.54471,1.37285,0.00389,1,0.13342,0.06614,0.29608,2.99065,1.03478,0.000619162,0.000206388,0.000619162,0.000206388,0.000619162,0.000206388,0.000619162,0.000206388
7,29.8369,0.97307,2.59883,1.43592,0.00389,1,0.17612,0.08204,0.29477,2.99887,1.03445,0.000722085,0.000240695,0.000722085,0.000240695,0.000722085,0.000240695,0.000722085,0.000240695
8,32.1318,0.85718,2.5173,1.35295,0.00389,1,0.21087,0.08103,0.297,3.00227,1.03442,0.000822037,0.000274012,0.000822037,0.000274012,0.000822037,0.000274012,0.000822037,0.000274012
9,34.3382,0.88122,2.53029,1.34377,0.00389,1,0.27311,0.09552,0.29636,3.00314,1.04035,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634
10,36.589,0.73876,2.45919,1.29213,0.00389,1,0.25831,0.08969,0.30127,3.01091,1.04496,0.00101303,0.000337677,0.00101303,0.000337677,0.00101303,0.000337677,0.00101303,0.000337677
11,38.8169,0.65255,2.47416,1.20153,0.00389,1,0.25403,0.0971,0.31569,3.01813,1.04579,0.00110407,0.000368025,0.00110407,0.000368025,0.00110407,0.000368025,0.00110407,0.000368025
12,40.9705,0.71947,2.45842,1.30568,0.00389,1,0.24153,0.10607,0.33473,3.02737,1.0703,0.00119215,0.000397383,0.00119215,0.000397383,0.00119215,0.000397383,0.00119215,0.000397383
13,43.2205,0.65458,2.44276,1.20948,0.00389,1,0.2438,0.11823,0.34126,3.03025,1.09171,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575
14,45.4273,0.62146,2.41832,1.20362,0.00389,1,0.24154,0.12742,0.34758,3.042,1.0885,0.00135938,0.000453128,0.00135938,0.000453128,0.00135938,0.000453128,0.00135938,0.000453128
15,47.6311,0.62233,2.39971,1.23926,0.00389,1,0.25038,0.13244,0.34346,3.04695,1.08619,0.00143854,0.000479515,0.00143854,0.000479515,0.00143854,0.000479515,0.00143854,0.000479515
16,49.8265,0.58963,2.42548,1.17515,0.00389,1,0.25467,0.14465,0.33987,3.0496,1.10121,0.00151474,0.000504913,0.00151474,0.000504913,0.00151474,0.000504913,0.00151474,0.000504913
